iter	Logloss
0	0.6892950521
1	0.684043201
2	0.6805224388
3	0.6765569279
4	0.6725824546
5	0.6681543705
6	0.6637164227
7	0.6598577782
8	0.6556825937
9	0.6514203135
10	0.6486930959
11	0.6447408742
12	0.6408567856
13	0.6380854932
14	0.6351303486
15	0.6319537644
16	0.6288785237
17	0.6261062096
18	0.6220887794
19	0.6192036729
20	0.6165582566
21	0.6128744022
22	0.6090753341
23	0.6054476254
24	0.602983958
25	0.600403361
26	0.5970721288
27	0.5943691972
28	0.5914401043
29	0.58878426
30	0.5855438337
31	0.5823739197
32	0.5796545599
33	0.5771824844
34	0.574521641
35	0.5723926068
36	0.570498082
37	0.5682167419
38	0.5659434246
39	0.5636841408
40	0.5609755346
41	0.5576065869
42	0.5551353429
43	0.5524756567
44	0.5503142306
45	0.5479114423
46	0.5460189437
47	0.5443659068
48	0.5414411386
49	0.5389889977
50	0.536873554
51	0.5338480028
52	0.5312833636
53	0.5293578652
54	0.5273141664
55	0.5251197331
56	0.522871166
57	0.5206559409
58	0.5193286935
59	0.517639897
60	0.5158243826
61	0.5142364016
62	0.5117384679
63	0.5098076144
64	0.5078835285
65	0.5053082764
66	0.5031539152
67	0.5014248312
68	0.4996774125
69	0.4975458817
70	0.4954639587
71	0.4931491138
72	0.4911385096
73	0.4896054762
74	0.487216242
75	0.4851228762
76	0.4828295098
77	0.4809869068
78	0.4789215751
79	0.4770975145
80	0.4755205401
81	0.4736176361
82	0.4720568052
83	0.4701411395
84	0.4685473585
85	0.4665565062
86	0.464827199
87	0.4626302868
88	0.4609811895
89	0.4591993848
90	0.4572839957
91	0.4554292355
92	0.4536835314
93	0.4517030448
94	0.4501671996
95	0.4485240802
96	0.446987607
97	0.4456943732
98	0.4442069013
99	0.4422397459
100	0.4402130589
101	0.4385800086
102	0.4367282179
103	0.4351641978
104	0.4338468503
105	0.4326547539
106	0.4313386391
107	0.4300440696
108	0.4286414191
109	0.4273125321
110	0.4253314455
111	0.4238484731
112	0.4224739201
113	0.4210499655
114	0.4194791112
115	0.4178319979
116	0.4174272197
117	0.4164911416
118	0.4145790736
119	0.4131239545
120	0.4114359481
121	0.4104678425
122	0.4090528708
123	0.4077333772
124	0.4064823862
125	0.4047347664
126	0.4031089635
127	0.4027885675
128	0.401687227
129	0.4000369268
130	0.3987336904
131	0.3975242595
132	0.3963891521
133	0.3954417826
134	0.3944118329
135	0.393315089
136	0.3918539479
137	0.3904778223
138	0.3895012166
139	0.388910019
140	0.38745526
141	0.386588742
142	0.3851681887
143	0.3837896961
